topical_ophthalmic_medications_id,primary_name,canonical_name,aliases,category,active_mechanisms,flags,route,dosage_form,ophthalmic_administration,rxcui,pubchem_cid,components,evidence_sources,curation_status
topical_ophthalmic_0102,Sulfacetamide/Prednisolone,Sulfacetamide/Prednisolone,sulfacetamide+prednisolone ophthalmic,antibiotic_corticosteroid_combination,dihydropteroate_synthase_inhibitor|glucocorticoid,antibiotic|corticosteroid|sulfonamide|systemic_absorption_medium,ophthalmic,ophthalmic,topical,690161,,,DrugBank DB00634+DB00860|PubMed,source_partial
topical_ophthalmic_0103,Povidone-iodine,Povidone-iodine,povidone-iodine ophthalmic|Betadine,antiseptic,iodine_oxidizing_agent_broad_spectrum,antiseptic|bactericidal_fungicidal_virucidal|systemic_absorption_low,ophthalmic,ophthalmic,topical,8611,,,DrugBank DB14021|PubMed,source_partial
topical_ophthalmic_0104,Chlorhexidine,Chlorhexidine,chlorhexidine gluconate ophthalmic,antiseptic,cell_membrane_disruptor_broad_spectrum,antiseptic|bactericidal|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,2358,,,DrugBank DB00878|PubMed,source_partial
topical_ophthalmic_0105,Sodium chloride 5%,Sodium chloride 5%,sodium chloride ophthalmic hypertonic,hyperosmotic,osmotic_dehydrating_agent,corneal_edema|hyperosmotic|systemic_absorption_low,ophthalmic,ophthalmic,topical,,,,DrugBank DB14518|PubMed,source_partial
topical_ophthalmic_0106,Glycerin ophthalmic,Glycerin ophthalmic,glycerin ophthalmic|glycerol,hyperosmotic,osmotic_dehydrating_agent,corneal_edema|hyperosmotic|systemic_absorption_low,ophthalmic,ophthalmic,topical,1156853,,,DrugBank DB02153|PubMed,source_partial
topical_ophthalmic_0107,Mitomycin C,Mitomycin C,mitomycin c ophthalmic,antimetabolite_ophthalmic,dna_crosslinking_alkylating_agent,antifibrotic|antimetabolite|systemic_absorption_low,ophthalmic,ophthalmic,topical,632,,,DrugBank DB00305|PubMed,source_partial
topical_ophthalmic_0108,5-Fluorouracil,5-Fluorouracil,5-fluorouracil ophthalmic,antimetabolite_ophthalmic,thymidylate_synthase_inhibitor,antifibrotic|antimetabolite|systemic_absorption_low,ophthalmic,ophthalmic,topical,4492,,,DrugBank DB00544|PubMed,source_partial
topical_ophthalmic_0109,Acetylcholine intraocular,Acetylcholine intraocular,acetylcholine chloride intraocular|Miochol,miotic_intraocular,cholinergic_agonist_intraocular,cholinergic|intraocular|minimal_systemic_absorption|miotic,ophthalmic,ophthalmic,intraocular,,,,DrugBank DB03145|PubMed,source_partial
topical_ophthalmic_0110,Carboxymethylcellulose,Carboxymethylcellulose,carboxymethylcellulose sodium|Viscoat,viscoelastic_surgical_aid,viscoelastic_protective_agent,surgical_aid|systemic_absorption_none|viscoelastic,ophthalmic,ophthalmic,intraocular,2062,,,DrugBank DB15897|PubMed,source_partial
topical_ophthalmic_0111,Hydroxypropyl methylcellulose,Hydroxypropyl methylcellulose,hypromellose ophthalmic|Ocucoat,viscoelastic_surgical_aid,viscoelastic_protective_agent,surgical_aid|systemic_absorption_none|viscoelastic,ophthalmic,ophthalmic,intraocular,27334,,,DrugBank DB09345|PubMed,source_partial
topical_ophthalmic_0112,Accelidine,Accelidine,accelidine ophthalmic,glaucoma_miotic,muscarinic_receptor_agonist,cholinergic|miotic|systemic_absorption_low,ophthalmic,ophthalmic,topical,,,,PubMed,source_partial
topical_ophthalmic_0113,Conbercept,Conbercept,conbercept ophthalmic intravitreal|康柏西普|Langmu,anti_vegf_intravitreal,vegf_plgf_inhibitor_fusion_protein,anti_vegf|biologic|intravitreal|minimal_systemic_absorption,ophthalmic,ophthalmic,intravitreal,,,,PubMed|Chinese FDA,source_partial
